date,coal_price_usd,nickel_price_usd,usd_idr,coal_price_idr,nickel_price_idr,year,month,month_name
1992-01-01,39.5,7531.13671875,1998.23,78930.085,15048943.325507812,1992,1,Jan
1992-02-01,39.5,7888.0,2006.63,79261.88500000001,15828297.440000001,1992,2,Feb
1992-03-01,39.5,7430.455078125,2014.83,79585.785,14971103.805058593,1992,3,Mar
1992-04-01,39.5,7417.951171875,2019.61,79774.595,14981368.366230467,1992,4,Apr
1992-05-01,39.5,7333.947265625,2024.52,79968.54,14847722.918203125,1992,5,May
1992-06-01,39.5,7202.36328125,2030.08,80188.16,14621373.65,1992,6,Jun
1992-07-01,39.5,7516.173828125,2033.38,80318.51000000001,15283237.538632814,1992,7,Jul
1992-08-01,39.5,7279.75,2033.92,80339.84,14806429.120000001,1992,8,Aug
1992-09-01,39.5,6918.572265625,2037.72,80489.94,14098113.077109376,1992,9,Sep
1992-10-01,37.25,6322.5,2045.33,76188.5425,12931598.924999999,1992,10,Oct
1992-11-01,35.0,5593.71484375,2054.8,71918.0,11493965.2609375,1992,11,Nov
1992-12-01,35.0,5751.1904296875,2060.0,72100.0,11847452.28515625,1992,12,Dec
1993-01-01,35.0,5948.10009765625,2063.5,72222.5,12273904.551513672,1993,1,Jan
1993-02-01,31.0,6050.75,2062.15,63926.65,12477554.1125,1993,2,Feb
1993-03-01,31.0,5974.9130859375,2066.31818181818,64055.86363636359,12346071.544256028,1993,3,Mar
1993-04-01,31.0,5987.5,2070.90476190476,64198.04761904756,12399542.261904752,1993,4,Apr
1993-05-01,31.0,5777.78955078125,2080.07894736842,64482.44736842102,12018258.406905318,1993,5,May
1993-06-01,31.0,5544.318359375,2085.28571428571,64643.857142857014,11561487.870256674,1993,6,Jun
1993-07-01,31.0,5051.181640625,2093.05882352941,64884.823529411704,10572420.302159917,1993,7,Jul
1993-08-01,31.0,4740.47607421875,2096.6,64994.6,9938882.137207031,1993,8,Aug
1993-09-01,31.0,4376.04541015625,2103.49000245,65208.19007594999,9204967.770530881,1993,9,Sep
1993-10-01,31.0,4464.85693359375,2104.45263673684,65238.03173884204,9396079.946554128,1993,10,Oct
1993-11-01,31.0,4642.27294921875,2099.09090909091,65071.818181818206,9744552.945223726,1993,11,Nov
1993-12-01,31.0,5139.7998046875,2103.42105263158,65206.05263157898,10811163.115491372,1993,12,Dec
1994-01-01,31.0,5584.0478515625,2109.71428571429,65401.142857142986,11780745.524553595,1994,1,Jan
1994-02-01,31.0,5830.10009765625,2122.61111111111,65800.94444444441,12375035.246175123,1994,2,Feb
1994-03-01,29.5,5590.4345703125,2148.345459,63376.1910405,12010184.722967476,1994,3,Mar
1994-04-01,29.5,5400.26318359375,2156.92857142857,63629.39285714282,11647981.95392717,1994,4,Apr
1994-05-01,31.4,6082.85693359375,2160.70454545455,67846.12272727287,13143256.62576574,1994,5,May
1994-06-01,33.6,6287.04541015625,2166.34090909091,72789.05454545458,13619883.669333722,1994,6,Jun
1994-07-01,33.1,6230.5712890625,2166.73332866667,71718.87317886678,13499986.468645375,1994,7,Jul
1994-08-01,33.1,5856.13623046875,2163.67608908696,71617.67854877838,12670781.936301077,1994,8,Aug
1994-09-01,33.1,6370.681640625,2174.91136586364,71989.56621008649,13855667.908494135,1994,9,Sep
1994-10-01,33.1,6735.85693359375,2172.42105263158,71907.1368421053,14633117.410053462,1994,10,Oct
1994-11-01,33.1,7474.54541015625,2174.56590686364,71978.13151718648,16253891.618229885,1994,11,Nov
1994-12-01,36.1,8540.650390625,2188.22619047619,78994.96547619045,18688874.86846633,1994,12,Dec
1995-01-01,37.1,9596.1904296875,2209.41477272727,81969.28806818172,21201964.89725561,1995,1,Jan
1995-02-01,37.6,8431.25,2217.6642456,83384.17563456,18697681.670715,1995,2,Feb
1995-03-01,38.35,7522.39111328125,2225.078263,85331.75138605,16737908.951946478,1995,3,Mar
1995-04-01,37.1,7405.0,2229.0475098,82697.66261358,16506096.810069,1995,4,Apr
1995-05-01,38.77,7262.380859375,2228.906526,86414.70601302001,16187168.091758428,1995,5,May
1995-06-01,40.77,7877.27294921875,2226.89772727273,90790.62034090921,17541881.22772219,1995,6,Jun
1995-07-01,41.05,8618.0,2229.59523809524,91524.8845238096,19214651.761904776,1995,7,Jul
1995-08-01,40.88,8931.818359375,2250.73369565217,92009.99347826072,20103144.544889994,1995,8,Aug
1995-09-01,40.93,8397.25,2271.14047385714,92957.77959497274,19071334.34409687,1995,9,Sep
1995-10-01,40.97,8068.86376953125,2265.79545454545,92829.63977272708,18282394.852350373,1995,10,Oct
1995-11-01,39.59,8498.095703125,2281.51817736364,90325.30464182651,19388559.81965553,1995,11,Nov
1995-12-01,39.35,8074.21044921875,2286.1,89958.035,18458452.507958982,1995,12,Dec
1996-01-01,39.37,7870.71435546875,2289.56818181818,90140.29931818174,18020537.156460837,1996,1,Jan
1996-02-01,39.28,8198.5,2300.21428571429,90352.4171428573,18858306.821428604,1996,2,Feb
1996-03-01,39.01,8046.39990234375,2330.2380952381,90902.58809523827,18750027.581961535,1996,3,Mar
1996-04-01,39.33,8047.0,2329.39772727273,91615.21261363648,18744663.51136366,1996,4,Apr
1996-05-01,38.2,8042.85693359375,2329.40760869565,88983.37065217385,18735092.13676385,1996,5,May
1996-06-01,38.2,7713.15771484375,2329.61875,88991.43625000001,17968716.834207155,1996,6,Jun
1996-07-01,38.4,7202.60888671875,2331.1847826087,89517.49565217408,16790612.23180094,1996,7,Jul
1996-08-01,38.35,7037.619140625,2341.52272727273,89797.39659090921,16478745.163663018,1996,8,Aug
1996-09-01,38.1,7329.8095703125,2328.83333333333,88728.54999999987,17069904.8543294,1996,9,Sep
1996-10-01,37.6,7028.69580078125,2323.5913086087,87367.03320368711,16331816.473549778,1996,10,Oct
1996-11-01,35.7,6960.71435546875,2336.87856909524,83426.56491670008,16266344.202888507,1996,11,Nov
1996-12-01,35.35,6571.0478515625,2354.64546345455,83236.71713311833,15472488.013824407,1996,12,Dec
1997-01-01,35.23,7069.13623046875,2369.37727495455,83473.1613966488,16749450.738030527,1997,1,Jan
1997-02-01,34.6,7736.5791015625,2382.54700925,82436.12652005,18432763.400253788,1997,2,Feb
1997-03-01,34.5,7893.21044921875,2399.58333333333,82785.62499999988,18940416.2404378,1997,3,Mar
1997-04-01,35.4,7313.13623046875,2412.48070186364,85401.81684597286,17642800.026105665,1997,4,Apr
1997-05-01,35.73,7476.0,2435.39204545455,87016.55778409107,18206990.931818217,1997,5,May
1997-06-01,34.5,7060.0,2429.36547852381,83813.10900907144,17151320.2783781,1997,6,Jun
1997-07-01,35.0,6832.7392578125,2501.75978686957,87561.59254043494,17093872.309360344,1997,7,Jul
1997-08-01,36.93,6764.4501953125,2725.34523809524,100646.9996428572,18435462.128127337,1997,8,Aug
1997-09-01,37.15,6498.28564453125,2998.88636363636,111408.62840909077,19487620.20639868,1997,9,Sep
1997-10-01,37.15,6373.47802734375,3582.13043478261,133076.14565217396,22830629.617166277,1997,10,Oct
1997-11-01,33.6,6137.25,3460.175,116261.88,21235959.01875,1997,11,Nov
1997-12-01,31.4,5942.380859375,4905.02173913043,154017.6826086955,29147507.297426943,1997,12,Dec
1998-01-01,31.4,5489.0,9745.2380952381,306000.4761904763,53491611.90476193,1998,1,Jan
1998-02-01,33.44,5367.25,9140.0,305641.6,49056665.0,1998,2,Feb
1998-03-01,31.88,5397.04541015625,9717.72727272727,309801.1454545454,52447015.37442293,1998,3,Mar
1998-04-01,31.18,5391.0,8190.19047619048,255370.13904761916,44153316.85714287,1998,4,Apr
1998-05-01,30.28,5016.84228515625,10315.625,312357.125,51751863.69781494,1998,5,May
1998-06-01,30.0,4456.90478515625,13736.3636363636,412090.909090908,61221664.821555234,1998,6,Jun
1998-07-01,30.0,4332.619140625,14280.3043478261,428409.130434783,61871119.95134177,1998,7,Jul
1998-08-01,26.2,4078.0,12332.2619047619,323105.2619047618,50290964.04761902,1998,8,Aug
1998-09-01,27.09,4100.9091796875,11174.4090909091,302714.7422727275,45825236.81849258,1998,9,Sep
1998-10-01,27.1,3870.45458984375,8743.18181818182,236940.22727272732,33840088.19802025,1998,10,Oct
1998-11-01,26.1,4117.25,7945.2380952381,207370.7142857144,32712531.547619067,1998,11,Nov
1998-12-01,26.1,3865.76318359375,7670.22727272727,200192.93181818177,29651282.200705778,1998,12,Dec
1999-01-01,26.1,4264.0,8430.0,220023.0,35945520.0,1999,1,Jan
1999-02-01,26.1,4623.25,8761.9,228685.59,40508454.175,1999,2,Feb
1999-03-01,26.1,5002.95454545455,8892.41478430435,232092.02587034355,44488346.96520269,1999,3,Mar
1999-04-01,26.1,5054.75,8622.475,225046.59750000003,43584455.50625,1999,4,Apr
1999-05-01,26.1,5395.78947368421,7972.61904761905,208085.35714285722,43018573.9348371,1999,5,May
1999-06-01,26.1,5194.77272727273,7348.06818181818,191784.5795454545,38171544.189049594,1999,6,Jun
1999-07-01,26.1,5696.36363636364,6760.56818181818,176450.8295454545,38510654.75206613,1999,7,Jul
1999-08-01,26.1,6431.42857142857,7428.52272727273,193884.44318181826,47776013.31168831,1999,8,Aug
1999-09-01,26.1,7029.09090909091,8278.40909090909,216066.47727272726,58189690.08264463,1999,9,Sep
1999-10-01,25.6,7317.61904761905,7538.33333333333,192981.33333333326,55162651.58730159,1999,10,Oct
1999-11-01,25.1,7946.81818181818,7005.88095238095,175847.61190476184,55674462.1320346,1999,11,Nov
1999-12-01,25.1,8073.23529411765,7148.09523809524,179417.19047619053,57708254.7619048,1999,12,Dec
2000-01-01,25.1,8315.25,7214.0,181071.40000000002,59986213.5,2000,1,Jan
2000-02-01,25.1,9583.75,7407.14762371429,185919.4053552287,70988251.03877182,2000,2,Feb
2000-03-01,25.1,10255.4,7455.78260869565,187140.14347826084,76462032.96521737,2000,3,Mar
2000-04-01,25.1,9746.5,7794.95,195653.245,75973480.175,2000,4,Apr
