date,coal_price_usd,nickel_price_usd,usd_idr,coal_price_idr,nickel_price_idr,year,month,month_name,coal_mom_change,nickel_mom_change,coal_yoy_change,nickel_yoy_change,coal_ma3,coal_ma12,nickel_ma3,nickel_ma12,coal_volatility,nickel_volatility,coal_nickel_ratio,coal_above_ma12,nickel_above_ma12,market_period
1993-01-01,35.0000,5948.1001,2063.5000,72222.5000,12273904.5515,1993,1,Jan,0.0000,3.4238,-11.3924,-21.0199,35.0000,38.1875,5764.3351,6883.5599,2.0258,774.1435,0.0059,0,0,Pre-2000
1993-02-01,31.0000,6050.7500,2062.1500,63926.6500,12477554.1125,1993,2,Feb,-11.4286,1.7258,-21.5190,-23.2917,33.6667,37.4792,5916.6802,6730.4557,2.8454,738.2819,0.0051,0,0,Pre-2000
1993-03-01,31.0000,5974.9131,2066.3182,64055.8636,12346071.5443,1993,3,Mar,0.0000,-1.2533,-21.5190,-19.5889,32.3333,36.7708,5991.2544,6609.1605,3.3157,732.3658,0.0052,0,0,Pre-2000
1993-04-01,31.0000,5987.5000,2070.9048,64198.0476,12399542.2619,1993,4,Apr,0.0000,0.2107,-21.5190,-19.2836,31.0000,36.0625,6004.3877,6489.9563,3.5773,704.6443,0.0052,0,0,Pre-2000
1993-05-01,31.0000,5777.7896,2080.0789,64482.4474,12018258.4069,1993,5,May,0.0000,-3.5025,-21.5190,-21.2186,31.0000,35.3542,5913.4009,6360.2764,3.6749,677.8857,0.0054,0,0,Pre-2000
1993-06-01,31.0000,5544.3184,2085.2857,64643.8571,11561487.8703,1993,6,Jun,0.0000,-4.0408,-21.5190,-23.0208,31.0000,34.6458,5769.8693,6222.1060,3.6220,659.3663,0.0056,0,0,Pre-2000
1993-07-01,31.0000,5051.1816,2093.0588,64884.8235,10572420.3022,1993,7,Jul,0.0000,-8.8945,-21.5190,-32.7958,31.0000,33.9375,5457.7632,6016.6900,3.4114,600.9467,0.0061,0,0,Pre-2000
1993-08-01,31.0000,4740.4761,2096.6000,64994.6000,9938882.1372,1993,8,Aug,0.0000,-6.1511,-21.5190,-34.8813,31.0000,33.2292,5111.9920,5805.0839,3.0103,561.5387,0.0065,0,0,Pre-2000
1993-09-01,31.0000,4376.0454,2103.4900,65208.1901,9204967.7705,1993,9,Sep,0.0000,-7.6876,-21.5190,-36.7493,31.0000,32.5208,4722.5677,5593.2066,2.3220,582.4847,0.0071,0,0,Pre-2000
1993-10-01,31.0000,4464.8569,2104.4526,65238.0317,9396079.9466,1993,10,Oct,0.0000,2.0295,-16.7785,-29.3815,31.0000,32.0000,4527.1261,5438.4030,1.8091,616.8769,0.0069,0,0,Pre-2000
1993-11-01,31.0000,4642.2729,2099.0909,65071.8182,9744552.9452,1993,11,Nov,0.0000,3.9736,-11.4286,-17.0091,31.0000,31.6667,4494.3918,5359.1162,1.5570,655.0623,0.0067,0,0,Pre-2000
1993-12-01,31.0000,5139.7998,2103.4211,65206.0526,10811163.1155,1993,12,Dec,0.0000,10.7173,-11.4286,-10.6307,31.0000,31.3333,4748.9766,5308.1670,1.1547,645.5019,0.0060,0,0,Pre-2000
1994-01-01,31.0000,5584.0479,2109.7143,65401.1429,11780745.5246,1994,1,Jan,0.0000,8.6433,-11.4286,-6.1205,31.0000,31.0000,5122.0402,5277.8293,0.0000,620.7731,0.0056,0,1,Pre-2000
1994-02-01,31.0000,5830.1001,2122.6111,65800.9444,12375035.2462,1994,2,Feb,0.0000,4.4063,0.0000,-3.6467,31.0000,31.0000,5517.9826,5259.4418,0.0000,598.6721,0.0053,0,1,Pre-2000
1994-03-01,29.5000,5590.4346,2148.3455,63376.1910,12010184.7230,1994,3,Mar,-4.8387,-4.1108,-4.8387,-6.4349,30.5000,30.8750,5668.1942,5227.4019,0.4330,566.3142,0.0053,0,1,Pre-2000
1994-04-01,29.5000,5400.2632,2156.9286,63629.3929,11647981.9539,1994,4,Apr,0.0000,-3.4017,-4.8387,-9.8077,30.0000,30.7500,5606.9326,5178.4655,0.5839,517.9701,0.0055,0,1,Pre-2000
